AM,FALSE
Born,FALSE
अक्सर,TRUE
अंग,TRUE
अगर,TRUE
अगला,TRUE
अंगूठी,TRUE
अचानक,TRUE
अच्छा,TRUE
अच्छी तरह से,FALSE
अजीब,TRUE
अंजीर,TRUE
अंडा,TRUE
अणु,TRUE
अंत,TRUE
अंतरिक्ष,TRUE
अंतिम,TRUE
अतीत,TRUE
अथॉ्टील अथॉरिटी ऑफ इंडिया,FALSE
अधिक,TRUE
अधिक,FALSE
अधिकारी,TRUE
अधिनियम,FALSE
अंधेरा,TRUE
अध्ययन,TRUE
अनुभव,TRUE
अनुभाग,TRUE
अनुमान,TRUE
अन्य,FALSE
अपने,FALSE
अब,FALSE
अब तक,FALSE
अभाव,TRUE
अभी तक,FALSE
अभ्यास,TRUE
अमीर,TRUE
अलग,TRUE
अलग,FALSE
अवधि,TRUE
अवधि,FALSE
अवस्था,TRUE
अंश,FALSE
असली,TRUE
आ,FALSE
आंकड़ा,TRUE
आकर्षित,FALSE
आकार,TRUE
आकार,FALSE
आंख,TRUE
आग,TRUE
आगे,FALSE
आठ,FALSE
आत्म,TRUE
आदमी,TRUE
आदेश,FALSE
आदेश,TRUE
आधा,TRUE
आधार,TRUE
आधुनिक,TRUE
आप,FALSE
आपूर्ति,TRUE
आबाद,FALSE
आम,FALSE
आया,FALSE
आयोजित,FALSE
आवश्यक,TRUE
आवश्यकता,TRUE
आवश्यकता,FALSE
आवाज,TRUE
आविष्कार,TRUE
आशा,FALSE
आशा,TRUE
आश्चर्य,TRUE
आश्चर्य,TRUE
आसमान,TRUE
आसानी,TRUE
इकट्ठा,TRUE
इकट्ठा,FALSE
इकाई,TRUE
इंच,TRUE
इच्छा,TRUE
इंजन,FALSE
इंतजार,TRUE
इतिहास,TRUE
इन,FALSE
इस,FALSE
इसी तरह,FALSE
उंगली,TRUE
उचित,TRUE
उच्च,TRUE
उच्च,TRUE
उज्ज्वल,TRUE
उठाओ,FALSE
उठाना,FALSE
उत्तर,TRUE
उत्तर,TRUE
उत्तेजित,TRUE
उत्पाद,TRUE
उत्पादन,TRUE
उदाहरण,TRUE
उद्योग,TRUE
उन,FALSE
उनके,FALSE
उन्हें,FALSE
उपकरण,TRUE
उपयोग,TRUE
उम्मीद,TRUE
उम्र,TRUE
उल्लेख,TRUE
उसके,FALSE
उसके,FALSE
उसे,FALSE
ऊपर,FALSE
ऊपर,TRUE
ऊर्जा,TRUE
ऊर्जा,TRUE
एक,FALSE
एक,FALSE
एक,FALSE
एक बार,FALSE
एक साथ,FALSE
एकल,FALSE
एटम,TRUE
एहसान,TRUE
ऐसा,FALSE
ऐसा नहीं,FALSE
ऑक्सीजन,FALSE
ओह,FALSE
और,FALSE
और न ही,FALSE
और भी,FALSE
कई,FALSE
कई,FALSE
कटौती,TRUE
कठिन,TRUE
कदम,FALSE
कंधे,FALSE
कनेक्ट,FALSE
कपड़े,TRUE
कंपनी,TRUE
कपास,TRUE
